name	link	movie_title	num_votes	num_comments	mbti
Chad	https://www.personality-database.com/profile/91199/chad-clarence-2013-mbti-personality-type	Clarence (2013)	182	4	ESTP
Luan Loud	https://www.personality-database.com/profile/10504/luan-loud-the-loud-house-2015-mbti-personality-type	The Loud House (2015)	300	35	ENTP
Deckard Wizard	https://www.personality-database.com/profile/25122/deckard-wizard-bee-and-puppycat-2013-mbti-personality-type	Bee and PuppyCat (2013)	241	33	ISFJ
Hay Lin	https://www.personality-database.com/profile/9368/hay-lin-witch-2004-mbti-personality-type	W.I.T.C.H. (2004)	230	7	ENFP
Jasmine	https://www.personality-database.com/profile/42196/jasmine-total-drama-2007-mbti-personality-type	Total Drama (2007)	246	24	ESTJ
Bloo	https://www.personality-database.com/profile/5228/bloo-fosters-home-for-imaginary-friends-mbti-personality-type	Foster's Home for Imaginary Friends	176	7	ENTP
Puppycat	https://www.personality-database.com/profile/25121/puppycat-bee-and-puppycat-2013-mbti-personality-type	Bee and PuppyCat (2013)	195	11	INTJ
Ocho	https://www.personality-database.com/profile/47690/ocho-the-amazing-world-of-gumball-2011-mbti-personality-type	The Amazing World of Gumball (2011)	96	12	INTJ
Raphael "Raph"	https://www.personality-database.com/profile/74936/raphael-raph-rise-of-the-teenage-mutant-ninja-turtles-2018-mbti-personality-type	Rise of the Teenage Mutant Ninja Turtles (2018)	117	16	ESFJ
Manitoba Smith	https://www.personality-database.com/profile/31996/manitoba-smith-total-drama-2007-mbti-personality-type	Total Drama (2007)	115	1	ENTP
Principal Scudworth	https://www.personality-database.com/profile/163870/principal-scudworth-clone-high-2002-mbti-personality-type	Clone High (2002)	108	19	ENTP
Chilli Heeler (Mum)	https://www.personality-database.com/profile/47416/chilli-heeler-mum-bluey-mbti-personality-type	Bluey	99	2	INFJ
Cardamon	https://www.personality-database.com/profile/25124/cardamon-bee-and-puppycat-2013-mbti-personality-type	Bee and PuppyCat (2013)	95	2	ISTJ
Олежа	https://www.personality-database.com/profile/263805/-my-student-spirit--mbti-personality-type	My Student Spirit (Дух Моей Общаги)	110	12	INFJ
The Cat in the Hat	https://www.personality-database.com/profile/10930/the-cat-in-the-hat-the-cat-in-the-hat-mbti-personality-type	The Cat in the Hat	64	1	XXXX
Barbara	https://www.personality-database.com/profile/512258/barbara-my-story-animated-mbti-personality-type	My Story Animated	57	3	ENFP
Crispin Wizard	https://www.personality-database.com/profile/146994/crispin-wizard-bee-and-puppycat-2013-mbti-personality-type	Bee and PuppyCat (2013)	65	1	ISFP
Eugene H. Krabs	https://www.personality-database.com/profile/4752/eugene-h-krabs-spongebob-squarepants-1999-mbti-personality-type	SpongeBob SquarePants (1999)	1.9k	295	ESTJ
Rose Quartz	https://www.personality-database.com/profile/1593/rose-quartz-steven-universe-2013-mbti-personality-type	Steven Universe (2013)	877	174	ENFP
Bubbles	https://www.personality-database.com/profile/1502/bubbles-the-powerpuff-girls-1998-mbti-personality-type	The Powerpuff Girls (1998)	1.5k	260	INFP
Daria Morgendorffer	https://www.personality-database.com/profile/5684/daria-morgendorffer-daria-1997-mbti-personality-type	Daria (1997)	1.8k	283	INTP
Lapis Lazuli	https://www.personality-database.com/profile/1598/lapis-lazuli-steven-universe-2013-mbti-personality-type	Steven Universe (2013)	1.6k	280	INFP
Lila Rossi	https://www.personality-database.com/profile/39168/lila-rossi-miraculous-tales-of-ladybug-cat-noir-2015-mbti-personality-type	Miraculous: Tales of Ladybug & Cat Noir (2015)	1.2k	273	ENFJ
Flora	https://www.personality-database.com/profile/9154/flora-winx-club-2004-mbti-personality-type	Winx Club (2004)	1.2k	15	ISFJ
Prince Stolas of the Ars Goetia	https://www.personality-database.com/profile/72025/prince-stolas-of-the-ars-goetia-helluva-boss-2019-mbti-personality-type	Helluva Boss (2019)	1.3k	224	ENFJ
