name	link	movie_title	num_votes	num_comments	mbti
Finnick Odair	https://www.personality-database.com/profile/3171/finnick-odair-the-hunger-games-franchise-mbti-personality-type	The Hunger Games (Franchise)	708	47	ENFJ
Tom Hansen	https://www.personality-database.com/profile/5637/tom-hansen-500-days-of-summer-2009-mbti-personality-type	500 Days of Summer (2009)	836	126	INFP
Margaret “Meg” March	https://www.personality-database.com/profile/77750/margaret-meg-march-little-women-2019-mbti-personality-type	Little Women (2019)	776	28	ESFJ
Marla Singer	https://www.personality-database.com/profile/6820/marla-singer-fight-club-1999-mbti-personality-type	Fight Club (1999)	798	63	ESFP
James P. Sullivan	https://www.personality-database.com/profile/10516/james-p-sullivan-monsters-inc-2001-mbti-personality-type	Monsters, Inc. (2001)	738	71	ISFP
Ramona Flowers	https://www.personality-database.com/profile/9835/ramona-flowers-scott-pilgrim-vs-the-world-2010-mbti-personality-type	Scott Pilgrim vs. the World (2010)	786	41	ISTP
Jane Porter	https://www.personality-database.com/profile/11326/jane-porter-tarzan-1999-mbti-personality-type	Tarzan (1999)	563	32	ENTP
Morticia Addams	https://www.personality-database.com/profile/12602/morticia-addams-the-addams-family-mbti-personality-type	The Addams Family	703	32	INFJ
Claude Frollo	https://www.personality-database.com/profile/5513/claude-frollo-the-hunchback-of-notre-dame-1996-mbti-personality-type	The Hunchback of Notre Dame (1996)	883	71	INTJ
Willy Wonka	https://www.personality-database.com/profile/3695/willy-wonka-willy-wonka-and-the-chocolate-factory-1971-mbti-personality-type	Willy Wonka and the Chocolate Factory (1971)	539	94	ENTP
Ferris Bueller	https://www.personality-database.com/profile/7782/ferris-bueller-ferris-buellers-day-off-1986-mbti-personality-type	Ferris Bueller's Day Off (1986)	842	72	ENTP
Miguel Rivera	https://www.personality-database.com/profile/10477/miguel-rivera-coco-2017-mbti-personality-type	Coco (2017)	642	42	ESFP
Patrizia Reggiani	https://www.personality-database.com/profile/332069/patrizia-reggiani-house-of-gucci-mbti-personality-type	House of Gucci	634	104	ESFP
Sonic	https://www.personality-database.com/profile/65897/sonic-sonic-the-hedgehog-film-series-mbti-personality-type	Sonic the Hedgehog (Film Series)	623	116	ESFP
Gabriella Montez	https://www.personality-database.com/profile/27286/gabriella-montez-high-school-musical-film-trilogy-mbti-personality-type	High School Musical (Film Trilogy)	560	81	ISFP
Kida Nedakh	https://www.personality-database.com/profile/4227/kida-nedakh-atlantis-the-lost-empire-2001-mbti-personality-type	Atlantis: The Lost Empire (2001)	471	48	INFJ
Sebastian “Seb” Wilder	https://www.personality-database.com/profile/5773/sebastian-seb-wilder-la-la-land-2016-mbti-personality-type	La La Land (2016)	493	54	ISFP
Lilo Pelekai	https://www.personality-database.com/profile/873/lilo-pelekai-lilo-stitch-2002-mbti-personality-type	Lilo & Stitch (2002)	589	29	ENFP
Susan Pevensie	https://www.personality-database.com/profile/4532/susan-pevensie-the-chronicles-of-narnia-film-trilogy-mbti-personality-type	The Chronicles of Narnia (Film Trilogy)	531	9	ISTJ
Dani	https://www.personality-database.com/profile/43094/dani-midsommar-2019-mbti-personality-type	Midsommar (2019)	576	22	ISFP
Susanna Kaysen	https://www.personality-database.com/profile/10753/susanna-kaysen-girl-interrupted-1999-mbti-personality-type	Girl, Interrupted (1999)	697	47	INFP
